"Gender" "Category" "Swim" "Bike" "Run" "Overall"
"218" "M" "30-34" 1.02444444 5.038333344 3.609444456 9.762499992
"219" "M" "25-29" 1.062222216 5.105555544 3.516666672 9.765833328
"220" "M" "30-34" 1.0725 5.148611112 3.451111104 9.767222232
"221" "M" "30-34" 1.077777768 5.209999992 3.343333344 9.767777784
"222" "M" "35-39" 1.073055552 5.421388896 3.135 9.76805556
"223" "M" "40-44" 1.081111104 5.13138888 3.449166672 9.771944448
"224" "M" "30-34" 0.979999992 5.26638888 3.369444456 9.780555552
"225" "F" "PRO" 0.960833328 5.667499992 3.083611104 9.780833328
"226" "M" "35-39" 1.129999992 5.077777776 3.462222216 9.782500008
"227" "M" "30-34" 1.07111112 4.961388888 3.662777784 9.78444444
"228" "M" "40-44" 0.992777784 5.282500008 3.405277776 9.785555544
"229" "M" "25-29" 1.082777784 5.342500008 3.195 9.785833344
"230" "M" "35-39" 1.024166664 5.25 3.40805556 9.786944448
"231" "M" "18-24" 1.129722216 5.291388888 3.242500008 9.787222224
"232" "M" "25-29" 1.05138888 5.176111104 3.458611104 9.787222224
"233" "M" "30-34" 1.162777776 5.249166672 3.271111104 9.788055552
"234" "M" "30-34" 1.193611104 5.236111104 3.223055544 9.788333328
"235" "M" "35-39" 1.184722224 5.03388888 3.446388888 9.789444456
"236" "M" "25-29" 1.054722216 5.229444456 3.414444456 9.794444448
"237" "M" "40-44" 1.0275 5.175277776 3.440277768 9.797777784
"238" "M" "30-34" 1.201944456 5.184166656 3.273611112 9.79944444
"239" "M" "25-29" 1.075277784 4.914722232 3.689444448 9.80111112
"240" "M" "30-34" 0.91361112 5.209166664 3.575833344 9.803611104
"241" "M" "25-29" 1.128888888 5.223611112 3.303333336 9.809722224
"242" "F" "PRO" 1.105000008 5.32361112 3.31194444 9.810555552
"243" "M" "35-39" 0.978611112 5.141388888 3.556111104 9.811944456
"244" "M" "18-24" 0.91194444 5.132777784 3.657499992 9.814166664
"245" "M" "40-44" 1.08305556 5.061944448 3.577777776 9.814999992
"246" "M" "40-44" 0.968055552 5.227777776 3.52055556 9.817777776
"247" "M" "40-44" 1.33194444 5.25305556 3.105833328 9.818333328
"248" "M" "30-34" 1.059166656 5.316944448 3.258888888 9.81888888
"249" "M" "35-39" 1.145833344 5.260277784 3.314166672 9.81888888
"250" "M" "18-24" 1.023888888 5.245277784 3.472777776 9.820833336
"251" "M" "30-34" 1.137777768 5.21111112 3.39138888 9.822222216
"252" "M" "18-24" 1.00194444 5.231111112 3.482222232 9.822777768
"253" "M" "40-44" 1.084722216 5.320000008 3.284722224 9.823888896
"254" "M" "35-39" 1.082222232 5.192777784 3.434722224 9.825555552
"255" "M" "45-49" 1.033888896 5.263333344 3.428055552 9.825555552
"256" "M" "40-44" 1.050833328 5.295277776 3.380833344 9.827222232
"257" "M" "25-29" 1.238333328 5.175277776 3.339444456 9.829166664
"258" "M" "45-49" 1.170277776 5.185833336 3.357222216 9.82944444
"259" "M" "35-39" 1.042777776 5.173333344 3.497222232 9.830833344
"260" "M" "30-34" 1.128611112 5.063055552 3.461666664 9.831666672
"261" "M" "45-49" 1.115555544 4.998333336 3.623333328 9.831666672
"262" "M" "35-39" 1.277500008 5.072222232 3.383055552 9.832222224
"263" "F" "35-39" 1.044722232 5.26805556 3.420833328 9.834166656
"264" "M" "35-39" 1.097500008 5.310555552 3.341111112 9.843333336
"265" "M" "30-34" 1.130277768 5.138333328 3.48611112 9.84444444
"266" "M" "35-39" 1.06055556 5.44055556 3.24138888 9.84611112
"267" "M" "35-39" 1.012777776 5.425000008 3.272777784 9.847222224
"268" "M" "18-24" 0.913333344 5.312222232 3.539444448 9.849166656
"269" "M" "30-34" 1.24194444 5.333333328 3.180277776 9.850277784
"270" "F" "25-29" 1.125 5.190555552 3.45888888 9.85194444
"271" "M" "40-44" 1.061388888 5.270277768 3.384444456 9.853888896
"272" "F" "PRO" 1.278611112 5.396111112 3.109999992 9.854444448
"273" "M" "30-34" 1.01111112 5.242777776 3.503333328 9.858611112
"274" "M" "30-34" 0.965833344 5.25138888 3.516944448 9.859999992
"275" "M" "30-34" 1.065555552 4.939722216 3.759444456 9.86111112
"276" "M" "25-29" 1.064722224 5.193888888 3.498333336 9.862777776
